"date","geography","geography code","Rural Urban","Method of Travel to Work: All categories: Method of travel to work; measures: Value","Method of Travel to Work: Work mainly at or from home; measures: Value","Method of Travel to Work: Underground, metro, light rail, tram; measures: Value","Method of Travel to Work: Train; measures: Value","Method of Travel to Work: Bus, minibus or coach; measures: Value","Method of Travel to Work: Taxi; measures: Value","Method of Travel to Work: Motorcycle, scooter or moped; measures: Value","Method of Travel to Work: Driving a car or van; measures: Value","Method of Travel to Work: Passenger in a car or van; measures: Value","Method of Travel to Work: Bicycle; measures: Value","Method of Travel to Work: On foot; measures: Value","Method of Travel to Work: Other method of travel to work; measures: Value","Method of Travel to Work: Not in employment; measures: Value"
"2011","Darlington","E06000005","Total",76635,2019,34,862,3430,441,193,30531,3400,1170,6625,309,27621
"2011","County Durham","E06000047","Total",383796,9642,331,1948,13963,1521,1061,154210,17707,2243,23797,1471,155902
"2011","Hartlepool","E06000001","Total",66804,1045,33,481,2592,700,180,23871,3214,723,4514,414,29037
"2011","Middlesbrough","E06000002","Total",100551,1306,44,718,4975,957,197,32508,4745,1397,7063,637,46004
"2011","Northumberland","E06000057","Total",233224,9195,674,1952,7711,588,704,96053,9552,2137,16924,1411,86323
"2011","Redcar and Cleveland","E06000003","Total",99177,1742,43,1193,3372,414,259,37919,4054,894,5731,733,42823
"2011","Stockton-on-Tees","E06000004","Total",140654,2847,102,1166,5115,642,417,60422,6160,1715,7518,1018,53532
"2011","Gateshead","E08000037","Total",148079,2868,4323,733,14106,498,371,52698,5954,1342,8425,559,56202
"2011","Newcastle upon Tyne","E08000021","Total",212864,3988,6414,1460,22137,1114,352,56851,6867,3308,15993,851,93529
"2011","North Tyneside","E08000022","Total",147889,3238,8650,1454,8714,801,479,55227,6085,2399,7974,1005,51863
"2011","South Tyneside","E08000023","Total",108981,1567,5747,1130,6288,334,344,36578,3863,1423,6070,1278,44359
"2011","Sunderland","E08000024","Total",205552,3071,2798,921,15374,795,526,73959,9557,1610,11899,1001,84041
"2011","Blackburn with Darwen","E06000008","Total",104417,2269,43,1003,3297,1133,322,38582,5034,600,7874,366,43894
"2011","Blackpool","E06000009","Total",103813,3305,41,528,5252,619,562,34724,4670,1948,9191,579,42394
"2011","Cheshire East","E06000049","Total",270953,13462,262,5269,3326,582,1188,124069,9216,4761,17939,1062,89817
"2011","Cheshire West and Chester","E06000050","Total",243155,9450,263,3262,5566,871,1033,109464,8947,4284,15987,1011,83017
"2011","Halton","E06000006","Total",92708,1541,38,1106,3843,350,355,39306,4071,1217,5437,313,35131
"2011","Warrington","E06000007","Total",149461,4648,148,2147,5039,400,692,71217,5803,2618,7626,518,48605
"2011","Allerdale","E07000026","Total",70978,3217,22,395,1766,136,232,29331,3489,706,6487,295,24902
"2011","Barrow-in-Furness","E07000027","Total",51103,839,33,527,1623,442,546,17475,2332,1647,5563,230,19846
"2011","Carlisle","E07000028","Total",79531,2835,30,327,3742,203,296,32456,3452,1415,8834,284,25657
"2011","Copeland","E07000029","Total",52702,1339,20,529,1560,170,277,21687,3146,572,3401,190,19811
"2011","Eden","E07000030","Total",38735,3341,22,222,587,77,90,16664,1363,345,4533,217,11274
"2011","South Lakeland","E07000031","Total",75831,4955,39,753,957,189,278,30695,2628,1388,9348,442,24159
"2011","Bolton","E08000001","Total",200723,4678,279,4497,8337,1575,803,80858,8388,1287,12024,641,77356
"2011","Bury","E08000002","Total",134687,3845,4295,555,5769,718,467,58347,4932,1195,7490,423,46651
"2011","Manchester","E08000003","Total",382932,7288,2897,5938,47727,1914,855,96210,10056,8708,30714,1398,169227
"2011","Oldham","E08000004","Total",159765,3243,127,1153,10492,1018,501,60716,7261,1015,10147,627,63465
"2011","Rochdale","E08000005","Total",152742,3052,184,1853,8037,1538,475,58968,6563,923,8643,517,61989
"2011","Salford","E08000006","Total",173117,3818,2231,2026,12007,1207,620,60601,6725,2527,14515,627,66213
"2011","Stockport","E08000007","Total",205310,7234,228,6971,11125,457,773,89656,6005,2802,11179,700,68180
"2011","Tameside","E08000008","Total",161459,3402,177,3560,11344,580,687,64128,6062,1426,10027,499,59567
"2011","Trafford","E08000009","Total",162806,6120,5609,1638,7623,607,502,70661,5138,3484,8891,639,51894
"2011","Wigan","E08000010","Total",236495,4663,79,3361,8635,823,1155,104142,9971,2402,13973,704,86587
"2011","Burnley","E07000117","Total",63376,1258,20,249,3232,331,216,24554,3061,402,4617,193,25243
"2011","Chorley","E07000118","Total",79951,2809,34,1298,1596,157,381,38472,3027,779,4912,237,26249
"2011","Fylde","E07000119","Total",54544,2131,32,437,1377,154,240,23501,1731,978,3718,211,20034
"2011","Hyndburn","E07000120","Total",58356,1175,11,349,2286,390,240,24306,2644,407,4002,183,22363
"2011","Lancaster","E07000121","Total",103296,3388,58,1305,3785,395,544,36945,3915,2551,9518,428,40464
"2011","Pendle","E07000122","Total",64440,1520,21,298,2124,366,195,25806,2930,506,5302,256,25116
"2011","Preston","E07000123","Total",104085,2437,45,903,7272,391,427,37751,4394,1471,8714,375,39905
"2011","Ribble Valley","E07000124","Total",41285,2282,26,328,603,51,167,20320,1338,389,3053,156,12572
"2011","Rossendale","E07000125","Total",50075,1613,29,171,1905,140,222,23634,2000,241,2669,184,17267
"2011","South Ribble","E07000126","Total",80458,2228,34,833,2735,172,473,40040,3234,1615,4170,227,24697
"2011","West Lancashire","E07000127","Total",81601,2780,95,1724,1471,600,285,35231,3181,876,5106,345,29907
"2011","Wyre","E07000128","Total",77663,2536,48,577,2041,261,409,33413,2983,1384,4453,453,29105
"2011","Knowsley","E08000011","Total",106155,1325,168,3500,6889,1268,278,36346,4763,969,5787,398,44464
"2011","Liverpool","E08000012","Total",356876,5258,1102,9962,38601,2777,794,95678,11805,4062,25208,1383,160246
"2011","Sefton","E08000014","Total",198197,4931,520,9045,8522,1601,607,72898,7426,3237,12224,908,76278
"2011","St. Helens","E08000013","Total",129584,2259,35,2411,4940,653,506,54259,5465,1114,6571,367,51004
"2011","Wirral","E08000015","Total",230851,5605,1374,8419,10107,986,1295,88088,8512,2306,11960,1277,90922
"2011","East Riding of Yorkshire","E06000011","Total",245594,9911,104,2300,4505,521,1204,107039,8790,5975,17034,1374,86837
"2011","Kingston upon Hull, City of","E06000010","Total",190610,2118,54,676,14549,1160,1326,58996,8763,9082,13276,903,79707
"2011","North East Lincolnshire","E06000012","Total",115823,1912,52,328,4319,564,658,45080,5079,3881,8297,606,45047
"2011","North Lincolnshire","E06000013","Total",122329,3323,34,370,1894,219,791,54922,5247,2998,7802,501,44228
"2011","York","E06000014","Total",149789,5025,104,2545,7141,418,968,47885,4565,11297,18246,527,51068
"2011","Craven","E07000163","Total",40056,2511,27,973,611,62,123,16913,1334,343,4489,214,12456
"2011","Hambleton","E07000164","Total",65255,4040,39,580,698,103,197,29289,2147,1250,6566,346,20000
"2011","Harrogate","E07000165","Total",114038,6926,120,2020,3122,226,446,50350,4057,1770,11813,552,32636
"2011","Richmondshire","E07000166","Total",38652,2661,30,451,541,101,134,16231,1421,470,5032,723,10857
"2011","Ryedale","E07000167","Total",37581,2994,27,278,415,44,179,15638,1342,788,3577,222,12077
"2011","Scarborough","E07000168","Total",79393,3489,37,579,2120,243,380,26130,3182,1108,10596,495,31034
"2011","Selby","E07000169","Total",61831,2787,28,1132,1348,72,311,30516,2312,1056,3519,205,18545
"2011","Barnsley","E08000016","Total",170405,3516,118,2094,6570,493,843,70743,7660,720,10349,473,66826
"2011","Doncaster","E08000017","Total",220877,4837,120,2916,10123,826,832,86549,10210,3301,13427,674,87062
